,LKSPOMET_ATemp,LKSBAWQ_Sal,LKSBAWQ_Depth,LKSBAWQ_pH,LKSPOMET_TotPrcp,LKSBAWQ_Turb
120,5.7,0.1,1.58,8.0,0.0,13
121,5.7,0.1,1.64,8.0,0.0,13
122,5.8,0.1,1.64,7.9,0.0,13
123,5.8,0.1,1.67,7.9,0.0,14
124,5.8,0.1,1.67,7.9,0.0,13
125,5.8,0.1,1.68,7.9,0.0,13
126,5.9,0.1,1.67,7.9,0.0,13
127,5.9,0.1,1.69,7.9,0.0,12
128,5.9,0.1,1.71,7.9,0.0,12
129,6.0,0.1,1.70,7.9,0.0,13
130,6.0,0.1,1.72,7.9,0.0,12
131,6.0,0.1,1.73,7.9,0.0,11
132,5.9,0.1,1.69,7.9,0.0,12
133,5.8,0.1,1.69,7.9,0.0,12
134,5.9,0.1,1.67,7.9,0.0,13
135,5.9,0.1,1.68,7.9,0.0,12
136,5.9,0.1,1.70,7.9,0.0,12
137,5.9,0.1,1.70,7.9,0.0,11
138,5.8,0.1,1.61,7.9,0.0,11
139,5.8,0.1,1.62,7.9,0.0,12
140,5.8,0.1,1.59,7.9,0.0,11
141,5.9,0.1,1.59,7.9,0.0,11
142,6.1,0.1,1.62,7.9,0.0,11
143,6.1,0.1,1.57,7.9,0.0,11
144,6.1,0.1,1.54,7.9,0.0,11
145,6.1,0.1,1.56,7.9,0.0,12
146,6.1,0.1,1.52,7.9,0.0,11
147,6.0,0.1,1.58,7.9,0.0,11
148,5.9,0.1,1.58,7.9,0.0,10
149,5.8,0.1,1.61,7.9,0.0,11
150,5.8,0.1,1.62,7.9,0.0,11
151,5.8,0.1,1.60,7.9,0.0,10
152,5.8,0.1,1.60,7.9,0.0,10
153,5.8,0.1,1.59,7.9,0.0,11
154,5.7,0.1,1.62,7.9,0.0,10
155,5.6,0.1,1.63,7.9,0.0,10
156,5.6,0.1,1.72,7.9,0.0,11
157,5.5,0.1,1.72,7.8,0.0,11
158,5.5,0.1,1.75,7.8,0.0,11
159,5.7,0.1,1.77,7.9,0.0,12
160,5.8,0.1,1.75,7.8,0.0,11
161,6.0,0.1,1.71,7.8,0.0,10
162,6.0,0.1,1.74,7.9,0.0,11
163,6.0,0.1,1.74,7.9,0.0,10
164,6.1,0.1,1.75,7.9,0.0,12
165,6.1,0.1,1.79,7.8,0.0,10
166,6.0,0.1,1.71,7.9,0.0,10
167,6.0,0.1,1.69,7.9,0.0,11
168,6.0,0.1,1.68,7.9,0.0,10
169,6.1,0.1,1.62,7.8,0.0,10
170,6.1,0.1,1.64,7.9,0.0,11
171,6.1,0.1,1.61,7.9,0.0,11
172,5.9,0.1,1.62,7.9,0.0,10
173,5.8,0.1,1.66,7.9,0.0,10
174,5.6,0.1,1.59,7.9,0.0,11
175,5.4,0.1,1.57,7.9,1.5,11
176,5.1,0.1,1.55,7.9,1.8,11
177,4.9,0.1,1.46,7.9,3.3,11
178,4.8,0.1,1.52,7.9,2.5,11
179,4.7,0.1,1.53,7.9,0.5,11
180,4.8,0.1,1.53,7.9,0.0,11
181,4.8,0.1,1.61,7.9,0.0,11
182,4.8,0.1,1.61,7.9,0.3,11
183,4.7,0.1,1.61,7.9,0.3,10
184,4.7,0.1,1.66,7.9,0.5,11
185,4.8,0.1,1.60,7.9,0.0,11
186,4.7,0.1,1.62,7.9,0.0,11
187,4.7,0.1,1.67,7.9,0.0,12
188,4.7,0.1,1.66,7.9,0.0,11
189,4.6,0.1,1.69,7.9,0.3,11
190,4.6,0.1,1.70,7.9,0.0,12
191,4.6,0.1,1.68,7.9,0.3,10
192,4.6,0.1,1.68,7.9,0.8,11
193,4.6,0.1,1.65,7.9,0.8,12
194,4.5,0.1,1.66,7.9,0.8,11
195,4.4,0.1,1.72,7.9,1.0,10
196,4.4,0.1,1.74,7.9,3.6,10
197,4.4,0.1,1.71,7.9,0.8,12
198,4.5,0.1,1.68,7.9,0.0,12
199,4.5,0.1,1.62,7.9,0.3,12
200,4.5,0.1,1.58,7.9,0.3,12
201,4.4,0.1,1.59,7.9,0.0,12
202,4.5,0.1,1.59,7.9,0.3,11
203,4.4,0.1,1.56,7.9,0.3,12
204,4.4,0.1,1.58,7.9,0.3,12
205,4.6,0.1,1.54,7.9,0.0,10
206,4.7,0.1,1.56,7.9,0.0,12
207,4.8,0.1,1.55,7.9,0.0,11
208,4.8,0.1,1.50,7.9,0.0,11
209,4.9,0.1,1.49,7.9,0.0,11
210,5.0,0.1,1.47,7.9,0.0,12
211,5.0,0.1,1.43,7.9,0.0,10
212,5.0,0.1,1.48,7.9,0.0,11
213,5.1,0.1,1.50,7.9,0.0,11
214,5.2,0.1,1.57,7.9,0.0,11
215,5.2,0.1,1.51,7.9,0.0,11
216,5.2,0.1,1.46,7.9,0.0,12
217,5.1,0.1,1.51,7.9,0.0,11
218,5.0,0.1,1.53,7.9,0.0,10
219,5.0,0.1,1.56,7.9,0.3,11
220,5.0,0.1,1.61,7.9,0.0,11
221,5.0,0.1,1.55,7.9,0.0,10
222,5.1,0.1,1.61,7.9,0.0,10
223,5.1,0.1,1.63,7.9,0.0,12
224,5.1,0.1,1.61,7.9,0.0,10
225,5.2,0.1,1.63,7.9,0.0,10
226,5.2,0.1,1.62,7.9,0.0,11
227,5.2,0.1,1.60,7.9,0.0,11
228,5.1,0.1,1.62,7.9,0.0,10
229,5.1,0.1,1.59,7.9,0.0,11
230,5.1,0.1,1.59,7.9,0.0,12
231,5.1,0.1,1.51,7.9,0.0,10
232,5.1,0.1,1.47,7.9,0.0,11
233,5.1,0.1,1.50,7.9,0.0,12
234,5.1,0.1,1.46,7.9,0.0,13
235,5.2,0.1,1.46,7.9,0.0,12
236,5.2,0.1,1.46,7.9,0.0,12
237,5.3,0.1,1.41,7.8,0.0,12
238,5.4,0.1,1.44,7.8,0.0,12
239,5.5,0.1,1.43,7.8,0.0,11
240,5.5,0.1,1.42,7.8,0.3,11
241,5.5,0.1,1.45,7.8,0.0,12
242,5.6,0.1,1.42,7.8,0.0,12
243,5.7,0.1,1.45,7.8,0.0,11
244,5.7,0.1,1.47,7.8,0.0,12
245,5.7,0.1,1.45,7.8,0.0,11
246,5.8,0.1,1.48,7.8,0.0,11
247,5.8,0.1,1.43,7.8,0.0,10
248,6.0,0.1,1.41,7.8,0.0,11
249,6.1,0.1,1.41,7.8,0.0,11
250,6.2,0.1,1.41,7.8,0.0,10
251,6.3,0.1,1.52,7.8,0.0,10
252,6.5,0.1,1.54,7.8,0.0,10
253,6.8,0.1,1.53,7.8,0.0,11
254,7.0,0.1,1.53,7.8,0.0,11
255,7.2,0.1,1.54,7.8,0.3,11
256,7.5,0.1,1.58,7.8,0.0,11
257,7.9,0.1,1.61,7.8,0.0,11
258,8.5,0.1,1.59,7.8,0.0,12
259,9.8,0.1,1.61,7.8,0.0,11
260,10.5,0.1,1.57,7.8,0.0,11
261,10.8,0.1,1.53,7.8,0.0,11
262,11.4,0.1,1.49,7.8,0.0,11
263,11.9,0.1,1.47,7.8,0.0,11
264,12.2,0.1,1.40,7.8,0.0,11
265,12.4,0.1,1.41,7.8,0.0,11
266,12.4,0.1,1.45,7.8,0.0,12
267,12.8,0.1,1.44,7.8,0.0,10
268,12.9,0.1,1.43,7.8,0.0,11
269,13.1,0.1,1.43,7.8,0.0,11
270,13.3,0.1,1.36,7.8,0.0,11
271,13.3,0.1,1.36,7.8,0.0,11
272,13.6,0.1,1.35,7.8,0.0,11
273,13.8,0.1,1.39,7.9,0.0,10
274,14.0,0.1,1.43,7.8,0.0,11
275,14.3,0.1,1.40,7.8,0.3,10
276,14.3,0.1,1.36,7.8,0.0,11
277,14.4,0.1,1.34,7.8,0.0,11
278,14.3,0.1,1.35,7.9,0.0,10
279,14.4,0.1,1.40,7.9,0.0,11
280,14.5,0.1,1.43,7.9,0.0,11
281,14.4,0.1,1.48,7.8,0.0,10
282,14.0,0.1,1.53,7.8,0.0,10
283,13.7,0.1,1.50,7.8,0.0,10
284,13.3,0.1,1.48,7.9,0.0,10
285,13.3,0.1,1.49,7.9,0.0,11
286,13.6,0.1,1.48,7.9,0.0,10
287,13.6,0.1,1.54,7.9,0.0,9
288,13.6,0.1,1.57,7.9,0.0,10
289,13.6,0.1,1.60,7.8,0.0,10
290,13.7,0.1,1.57,7.9,0.0,10
291,14.0,0.1,1.51,7.9,0.0,11
292,14.2,0.1,1.48,7.9,0.0,10
293,14.3,0.1,1.46,7.9,0.0,10
294,14.6,0.1,1.46,7.9,0.0,11
295,14.3,0.1,1.50,7.9,0.0,10
296,14.4,0.1,1.50,7.9,0.0,10
297,14.6,0.1,1.51,7.9,0.0,10
298,15.0,0.1,1.46,7.9,0.0,10
299,15.5,0.1,1.42,7.9,0.0,10
300,15.9,0.1,1.43,7.9,0.0,10
301,16.4,0.1,1.43,7.9,0.0,10
302,16.7,0.1,1.44,7.9,0.0,10
303,17.0,0.1,1.47,7.9,0.0,9
304,17.1,0.1,1.47,7.9,0.0,10
305,17.3,0.1,1.47,7.9,0.0,9
306,17.4,0.1,1.42,7.9,0.0,10
307,17.5,0.1,1.38,7.9,0.0,11
308,17.5,0.1,1.39,7.9,0.0,11
309,17.6,0.1,1.41,7.9,0.0,10
310,17.3,0.1,1.44,7.9,0.0,10
311,17.3,0.1,1.51,7.9,0.0,11
312,17.0,0.1,1.51,7.9,0.0,9
313,16.1,0.1,1.53,7.9,0.0,9
314,14.4,0.1,1.51,7.9,0.0,8
315,12.7,0.1,1.50,7.9,0.0,10
316,11.6,0.1,1.60,7.9,0.0,9
317,11.1,0.1,1.64,7.9,0.0,10
318,10.8,0.1,1.59,7.9,0.0,9
319,10.4,0.1,1.62,7.9,0.0,11
320,10.1,0.1,1.58,7.9,0.0,9
321,10.1,0.1,1.58,7.9,0.0,10
322,10.1,0.1,1.59,7.9,0.0,9
323,9.7,0.1,1.56,7.9,0.0,10
324,9.4,0.1,1.54,7.9,0.0,9
325,9.3,0.1,1.51,7.9,0.0,10
326,9.0,0.1,1.49,7.9,0.0,10
327,8.7,0.1,1.53,7.9,0.0,8
328,8.6,0.1,1.52,7.9,0.0,9
329,8.3,0.1,1.48,7.9,0.0,9
330,8.2,0.1,1.44,7.9,0.0,9
331,8.2,0.1,1.43,7.9,0.0,10
332,8.2,0.1,1.45,7.9,0.0,9
333,8.3,0.1,1.45,7.9,0.0,9
334,8.8,0.1,1.43,7.8,0.0,9
335,9.6,0.1,1.40,7.8,0.0,9
336,9.3,0.1,1.40,7.8,0.0,9
337,9.3,0.1,1.39,7.8,0.0,9
338,8.8,0.1,1.39,7.8,0.0,8
339,7.9,0.1,1.42,7.8,0.0,8
340,7.6,0.1,1.45,7.8,0.0,9
341,7.9,0.1,1.45,7.8,0.0,9
342,7.2,0.1,1.45,7.8,0.0,8
343,6.9,0.1,1.45,7.8,0.0,9
344,6.7,0.1,1.47,7.8,0.0,8
345,7.2,0.1,1.49,7.8,0.0,8
346,6.9,0.1,1.52,7.8,0.0,9
347,7.1,0.1,1.53,7.8,0.0,9
348,6.8,0.1,1.55,7.8,0.0,9
349,6.7,0.1,1.56,7.8,0.0,9
350,6.7,0.1,1.56,7.8,0.0,8
351,7.5,0.1,1.56,7.8,0.0,8
352,8.3,0.1,1.55,7.8,0.0,9
353,9.1,0.1,1.55,7.8,0.0,8
354,9.7,0.1,1.56,7.8,0.0,8
355,11.1,0.1,1.56,7.8,0.0,8
356,12.8,0.1,1.54,7.8,0.0,9
357,14.1,0.1,1.53,7.8,0.0,9
358,14.8,0.1,1.50,7.8,0.0,8
359,15.2,0.1,1.49,7.8,0.0,8
360,15.8,0.1,1.47,7.8,0.0,9
361,16.3,0.1,1.48,7.8,0.0,9
362,16.9,0.1,1.51,7.8,0.0,8
363,17.6,0.1,1.48,7.8,0.0,9
364,18.0,0.1,1.45,7.9,0.0,9
365,18.3,0.1,1.43,7.8,0.0,10
366,18.5,0.1,1.37,7.8,0.0,9
367,18.7,0.1,1.38,7.9,0.0,9
368,19.2,0.1,1.39,7.9,0.0,10
369,19.8,0.1,1.41,7.9,0.0,10
370,19.9,0.1,1.41,7.9,0.0,9
371,20.1,0.1,1.39,7.9,0.0,9
372,20.3,0.1,1.39,7.9,0.0,9
373,20.4,0.1,1.39,7.9,0.0,9
374,20.6,0.1,1.40,7.9,0.0,9
375,20.8,0.1,1.43,7.9,0.0,10
376,20.8,0.1,1.48,7.9,0.0,9
377,21.5,0.1,1.50,7.9,0.0,10
378,21.5,0.1,1.52,7.9,0.0,10
379,21.8,0.1,1.53,7.9,0.0,9
380,22.0,0.1,1.50,7.9,0.0,9
381,22.5,0.1,1.52,7.9,0.0,9
382,22.6,0.1,1.50,7.9,0.0,9
383,23.2,0.1,1.54,7.9,0.0,10
384,23.3,0.1,1.55,8.0,0.0,10
385,23.3,0.1,1.57,8.0,0.0,9
386,23.3,0.1,1.55,8.0,0.0,9
387,23.4,0.1,1.52,8.0,0.0,9
388,23.4,0.1,1.50,8.0,0.0,9
389,23.8,0.1,1.50,8.0,0.0,10
390,24.1,0.1,1.49,8.0,0.0,10
391,23.8,0.1,1.53,8.0,0.0,10
392,23.9,0.1,1.55,8.0,0.0,10
393,24.1,0.1,1.53,8.0,0.0,10
394,24.1,0.1,1.49,8.0,0.0,10
395,24.5,0.1,1.45,8.0,0.0,10
396,24.5,0.1,1.42,8.0,0.0,10
397,24.2,0.1,1.44,8.0,0.0,10
398,24.5,0.1,1.47,8.0,0.0,10
399,24.6,0.1,1.49,8.0,0.0,10
400,24.7,0.1,1.49,8.0,0.0,9
401,24.3,0.1,1.47,8.0,0.0,10
402,24.1,0.1,1.45,8.0,0.0,9
403,24.1,0.1,1.44,8.0,0.0,10
404,24.0,0.1,1.46,8.0,0.0,10
405,23.9,0.1,1.50,8.0,0.0,9
406,23.3,0.1,1.52,8.0,0.0,10
407,22.5,0.1,1.53,8.0,0.0,10
408,21.2,0.1,1.53,8.0,0.0,10
409,19.6,0.1,1.54,8.0,0.0,9
410,17.7,0.1,1.56,8.0,0.0,9
411,17.0,0.1,1.58,8.0,0.0,9
412,18.3,0.1,1.60,8.0,0.0,9
413,17.1,0.1,1.63,8.0,0.0,9
414,16.5,0.1,1.63,8.0,0.0,9
415,15.9,0.1,1.64,8.0,0.0,9
416,15.5,0.1,1.62,8.0,0.0,9
417,15.5,0.1,1.61,8.0,0.0,9
418,13.7,0.1,1.59,8.0,0.0,10
419,12.2,0.1,1.57,8.0,0.0,9
420,11.6,0.1,1.56,8.0,0.0,9
421,11.4,0.1,1.58,8.0,0.0,9
422,11.0,0.1,1.58,8.0,0.0,10
423,10.6,0.1,1.55,8.0,0.0,9
424,10.3,0.1,1.53,8.0,0.0,9
425,10.1,0.1,1.52,8.0,0.0,10
426,9.8,0.1,1.51,8.0,0.0,9
427,9.5,0.1,1.51,7.9,0.0,10
428,8.9,0.1,1.47,7.9,0.0,10
429,8.4,0.1,1.46,8.0,0.0,10
430,8.1,0.1,1.46,8.0,0.0,10
431,7.8,0.1,1.45,7.9,0.0,10
432,7.6,0.1,1.47,7.9,0.0,10
433,7.3,0.1,1.46,7.9,0.0,10
434,7.0,0.1,1.44,7.9,0.0,10
435,6.8,0.1,1.45,7.9,0.0,10
436,6.6,0.1,1.46,7.9,0.0,9
437,6.6,0.1,1.50,7.9,0.0,10
438,6.3,0.1,1.57,7.9,0.0,9
439,6.1,0.1,1.56,7.9,0.0,10
440,6.0,0.1,1.56,7.9,0.0,10
441,6.0,0.1,1.55,7.9,0.0,10
442,5.8,0.1,1.53,7.9,0.0,9
443,5.9,0.1,1.55,7.9,0.0,10
444,6.0,0.1,1.57,7.9,0.0,9
445,6.0,0.1,1.61,7.9,0.0,9
446,6.5,0.1,1.61,7.9,0.0,9
447,7.4,0.1,1.58,7.9,0.0,9
448,8.2,0.1,1.60,7.9,0.0,9
449,8.3,0.1,1.57,7.9,0.0,9
450,8.5,0.1,1.57,7.9,0.0,9
451,8.8,0.1,1.58,7.9,0.0,9
452,9.1,0.1,1.58,7.9,0.0,10
453,9.4,0.1,1.61,7.9,0.0,9
454,9.8,0.1,1.62,7.9,0.0,9
455,10.3,0.1,1.57,7.9,0.0,9
456,10.6,0.1,1.56,7.9,0.0,9
457,10.6,0.1,1.52,7.9,0.0,9
458,10.8,0.1,1.50,7.9,0.0,10
459,10.8,0.1,1.51,7.9,0.0,10
460,11.1,0.1,1.49,7.9,0.0,10
461,11.7,0.1,1.49,7.9,0.0,9
462,12.1,0.1,1.50,7.9,0.0,9
463,12.3,0.1,1.46,7.9,0.0,9
464,12.2,0.1,1.50,7.9,0.0,9
465,12.3,0.1,1.51,7.9,0.0,10
466,12.1,0.1,1.54,7.9,0.0,10
467,12.3,0.1,1.51,7.9,0.0,10
468,12.4,0.1,1.49,7.9,0.0,9
469,13.0,0.1,1.48,7.9,0.0,9
470,13.0,0.1,1.53,7.9,0.0,10
471,12.8,0.1,1.55,7.9,0.0,9
472,13.1,0.1,1.59,7.9,0.0,10
473,13.2,0.1,1.59,7.9,0.0,10
474,13.6,0.1,1.60,7.9,0.0,10
475,13.4,0.1,1.60,7.9,0.0,10
476,13.0,0.1,1.58,8.0,0.0,10
477,13.4,0.1,1.58,8.0,0.0,9
478,13.2,0.1,1.58,8.0,0.0,9
479,13.7,0.1,1.60,8.0,0.0,9
480,13.8,0.1,1.61,8.0,0.0,9
481,14.0,0.1,1.62,8.0,0.0,9
482,13.7,0.1,1.61,8.0,0.0,9
483,14.0,0.1,1.56,8.0,0.0,9
484,13.9,0.1,1.55,8.1,0.0,10
485,13.8,0.1,1.56,8.1,0.0,9
486,13.3,0.1,1.58,8.1,0.0,8
487,13.1,0.1,1.58,8.0,0.0,9
488,12.8,0.1,1.58,8.1,0.0,9
489,12.7,0.1,1.53,8.1,0.0,8
490,12.7,0.1,1.50,8.1,0.0,8
491,12.6,0.1,1.49,8.1,0.0,10
492,12.4,0.1,1.45,8.1,0.0,9
493,12.2,0.1,1.50,8.1,0.0,9
494,12.3,0.1,1.53,8.1,0.0,9
495,12.4,0.1,1.52,8.1,0.0,9
496,12.4,0.1,1.48,8.1,0.0,10
497,12.8,0.1,1.52,8.1,0.0,10
498,12.1,0.1,1.53,8.1,0.0,9
499,11.8,0.1,1.56,8.2,0.0,9
500,11.9,0.1,1.57,8.1,0.0,9
501,11.8,0.1,1.57,8.2,0.0,10
502,11.9,0.1,1.58,8.2,0.0,9
503,11.7,0.1,1.61,8.2,0.0,9
504,11.1,0.1,1.60,8.2,0.0,9
505,10.3,0.1,1.60,8.1,0.0,9
506,9.8,0.1,1.60,8.1,0.0,9
507,9.5,0.1,1.62,8.2,0.0,8
508,9.3,0.1,1.64,8.1,0.0,9
509,9.2,0.1,1.63,8.1,0.0,10
510,9.0,0.1,1.65,8.2,0.0,9
511,8.6,0.1,1.61,8.1,0.0,10
512,8.4,0.1,1.64,8.1,0.0,9
513,8.2,0.1,1.63,8.1,0.0,9
514,8.0,0.1,1.58,8.1,0.0,10
515,7.9,0.1,1.58,8.1,0.0,9
516,7.7,0.1,1.58,8.1,0.0,9
517,7.6,0.1,1.57,8.1,0.0,9
518,7.4,0.1,1.60,8.1,0.0,9
519,7.4,0.1,1.58,8.1,0.0,9
520,7.5,0.1,1.56,8.1,0.0,9
521,7.6,0.1,1.54,8.1,0.0,9
522,7.5,0.1,1.52,8.1,0.0,9
523,7.3,0.1,1.48,8.1,0.0,9
524,7.2,0.1,1.45,8.1,0.0,9
525,7.1,0.1,1.46,8.1,0.0,9
526,7.2,0.1,1.51,8.1,0.0,10
527,7.1,0.1,1.52,8.1,0.0,9
528,7.2,0.1,1.51,8.0,0.0,10
529,7.3,0.1,1.49,8.0,0.0,9
530,7.2,0.1,1.48,8.0,0.0,10
531,7.2,0.1,1.48,8.0,0.0,9
532,7.4,0.1,1.51,8.0,0.0,9
533,7.6,0.1,1.56,8.0,0.0,9
534,7.8,0.1,1.60,8.0,0.0,9
535,8.2,0.1,1.59,8.0,0.0,10
536,8.4,0.1,1.55,8.0,0.0,9
537,8.4,0.1,1.53,8.0,0.0,9
538,8.1,0.1,1.57,8.0,0.0,9
539,8.0,0.1,1.60,8.0,0.0,10
540,7.9,0.1,1.63,8.0,0.0,11
541,7.7,0.1,1.67,8.0,0.3,10
542,7.5,0.1,1.64,8.0,0.3,10
543,7.2,0.1,1.60,8.0,0.8,10
544,7.1,0.1,1.52,8.0,0.8,11
545,7.0,0.1,1.53,8.0,2.0,10
546,7.0,0.1,1.48,8.0,0.8,12
547,6.9,0.1,1.49,8.0,0.8,11
548,6.9,0.1,1.55,8.0,0.3,10
549,7.1,0.1,1.58,8.0,0.0,12
550,7.4,0.1,1.59,8.0,0.0,12
551,7.5,0.1,1.48,8.0,0.3,12
552,7.5,0.1,1.48,8.0,0.3,10
553,7.8,0.1,1.44,7.9,0.0,11
554,8.0,0.1,1.44,8.0,0.0,10
555,8.3,0.1,1.46,7.9,0.0,11
556,8.9,0.1,1.44,7.9,0.0,11
557,9.4,0.1,1.59,7.9,0.0,13
558,9.6,0.1,1.62,7.9,0.0,11
559,11.0,0.1,1.58,8.0,0.0,12
560,13.2,0.1,1.52,8.0,0.0,13
561,15.0,0.1,1.46,8.0,0.0,12
562,16.1,0.1,1.41,8.0,0.0,11
563,17.0,0.1,1.45,8.0,0.0,11
564,17.7,0.1,1.53,8.0,0.0,12
565,18.2,0.1,1.56,8.0,0.0,11
566,18.6,0.1,1.66,8.0,0.0,12
567,19.2,0.1,1.64,8.0,0.0,12
568,19.8,0.1,1.55,8.0,0.0,11
569,19.9,0.1,1.56,8.0,0.0,11
570,20.2,0.1,1.53,8.0,0.0,13
571,20.7,0.1,1.56,8.0,0.0,15
572,21.5,0.1,1.60,8.1,0.0,11
573,21.8,0.1,1.62,8.0,0.0,13
574,22.1,0.1,1.59,8.1,0.0,12
575,22.7,0.1,1.51,8.1,0.0,11
